course_title,course_code,prereq_courses,same_subjects,course_desc
12.390 Fluid Dynamics of the Atmosphere and Ocean,12.390,['12.003'],[],"Introduction to fluid dynamics. Students acquire an understanding of some of the basic concepts of fluid dynamics that are needed as a foundation for advanced coursework in atmospheric science, physical oceanography, ocean engineering, climate science, etc. Emphasizes fluid fundamentals, with an atmosphere/ocean twist. Students taking graduate version complete additional assignments. "
12.400 Our Space Odyssey,12.400,['8.01|8.01L|8.011|8.012'],[],"Traces historical and scientific advancement of our understanding of Earth's cosmic context. Introduces basic physical principles by which planets form and create their associated features of rings, satellites, diverse landscapes, atmospheres, and climates. Includes the physics of asteroids and comets and their orbital characteristics and links to meteorites. Considers one of the most fundamental questions - whether or not we are alone - by detailing the scientific exploration goals to be achieved at the Moon, Mars, and beyond. "
12.402[J] Introduction to Astronomy,12.402[J],['8.01|8.01L|8.011|8.012'],['8.282[J]'],See description under subject 8.282[J]. 
12.409 Hands-On Astronomy: Observing Stars and Planets,12.409,[],[],"Background for, and techniques of, visual observation and electronic imaging of the Moon, planets, satellites, stars, and brighter deep-space objects. Weekly outdoor observing sessions using 8-inch diameter telescopes when weather permits. Indoor sessions introduce skills necessary for observation. Introduction to contemporary observational astronomy including astronomical computing, image and data processing, and how astronomers work. Student must maintain a careful and complete written log which is graded. Consumes an entire evening each week; 100% attendance at observing sessions required to pass. Enrollment limited; priority to first-year students."
12.410[J] Observational Techniques of Optical Astronomy,12.410[J],"['8.282', '12.409']",['8.287[J]'],"Fundamental physical and optical principles used for astronomical measurements at visible wavelengths and practical methods of astronomical observations. Topics: astronomical coordinates, time, optics, telescopes, photon counting, signal-to-noise ratios, data analysis (including least-squares model fitting), limitations imposed by the Earth's atmosphere on optical observations, CCD detectors, photometry, spectroscopy, astrometry, and time variability. Project at Wallace Astrophysical Observatory. Written and oral project reports. Limited to 18; preference to Course 8 and Course 12 majors and minors."
12.411 Astronomy Field Camp,12.411,"['12.410', '12.410']",[],"Individual research projects in planetary science and astrophysics, involving supervised work at Lowell Observatory in Flagstaff, AZ. Projects may include observations made using Lowell's telescope facilities. Project topics and objectives vary from year to year. Written and oral reports required. Limited to 6."
12.420 Essentials of Planetary Science,12.420,['12.002'],[],"Advanced applications of physical and chemical principles to the study of the solar system. Topics include terrestrial and giant planets, meteorites, asteroids, comets, Kuiper belt objects, rings, impact craters, interiors, surfaces, atmospheres, geomagnetism, cosmochemistry, remote sensing, formation and evolution of the solar system. "
12.421 Physical Principles of Remote Sensing,12.421,"['8.02|8.021|8.022', '6.0001']",[],"Introduction to the physics of remote sensing with applications to the study of the Earth, Moon, planets and other solar system bodies, as well as to emerging fields, such as autonomous navigation. Includes the principles of optical, thermal, radar and lidar remote sensing. Covers fundamental properties of electromagnetic waves; principles of electromagnetic scattering from real and idealized materials, including various types of surfaces and vegetation; interaction of electromagnetic radiation with the atmosphere; and thermal and microwave emission from various media. Discusses past, present, and future remote sensing platforms along with the fundamentals of orbital mechanics and data processing tools and methods. Assignments require students to write simple computer programs and plot mathematical functions. Students taking graduate version complete different assignments. "
12.422 Planetary Atmospheres,12.422,['12.003'],[],"Provides a basic understanding of the physics and chemistry of planetary atmospheres. Explores the formation and evolution of atmospheres, their structure and dynamics, and what is known about their chemical composition. Pays particular attention to their energy balance. Also presents the current state of understanding of exoplanet atmospheres. Students taking graduate version complete an additional research project. "
12.425[J] Extrasolar Planets: Physics and Detection Techniques,12.425[J],"['8.03', '18.03']",['8.290[J]'],"Presents basic principles of planet atmospheres and interiors applied to the study of extrasolar planets. Focuses on fundamental physical processes related to observable extrasolar planet properties. Provides a quantitative overview of detection techniques. Introduction to the feasibility of the search for Earth-like planets, biosignatures and habitable conditions on extrasolar planets. Students taking graduate version complete additional assignments. "
12.43[J] Space Systems Engineering,12.43[J],[],['16.83[J]'],See description under subject 16.83[J]. 
12.431[J] Space Systems Development,12.431[J],[],['16.831[J]'],See description under subject 16.831[J]. 
12.UR Undergraduate Research,12.UR,[],[],"Undergraduate research opportunities in Earth, Atmospheric, and Planetary Sciences. "
12.URG Undergraduate Research,12.URG,[],[],"Undergraduate research opportunities in Earth, Atmospheric, and Planetary Sciences. "
12.IND Independent Study,12.IND,['12.TI'],[],"Independent reading, laboratory, or fieldwork in Earth, Atmospheric, and Planetary Sciences. To be arranged by student and an appropriate EAPS faculty member. A written report may be required at the discretion of the advisor. Units arranged should reflect the project requirements. "
12.TIP Thesis Preparation,12.TIP,[],[],Definition of and early-stage work on the thesis project. Students develop a written research proposal and begin writing the supporting text of the thesis concurrent with conducting research for the thesis project. Supervision of the writing continues into the spring term which concludes with an oral presentation of the research results. 
12.THU Undergraduate Thesis,12.THU,['12.TI'],[],Program of research leading to the writing of a thesis; to be arranged by the student and an appropriate MIT faculty member. 
12.44 Practical Experience,12.44,[],[],"For Course 12 students participating in off-campus professional experiences related to their research. Before registering for this subject, students must have an offer from a company or organization, must identify an EAPS supervisor, and must receive prior approval from their advisor. Upon completion of the experience, student must submit a letter from the company or organization describing the what the student accomplished, along with a substantive final report from the student approved by the EAPS supervisor. Consult departmental academic office. "
"12.444 MatLab, Statistics, Regression, Signal Processing",12.444,['18.06'],[],"Introduces the basic tools needed for data analysis and interpretation in the Geosciences, as well as other sciences. Composed of four modules, targeted at introducing students to the basic concepts and applications in each module. MatLab: Principles and practice in its uses, script and function modules, basic approaches to solving problems. Statistics: Correlation, means, dispersion, precision, accuracy, distributions, central limit theorem, skewness, probability, Chi-Square, Gaussian and other common distributions used in hypothesis testing. Regression: Random and grid search methods, basic least squares and algorithms applicable to regression, inversion and parameter estimation. Signal Processing: Analog and digital signals, Z-transform, Fourier series, fast Fourier transforms, spectral analysis leakage and bias, digital filtering. Students taking the graduate version complete different assignments. "
"12.445 Communication in the Earth, Atmospheric, and Planetary Sciences",12.445,[],[],"Concentrated instruction and practice in professional writing and presentation. Topics include review of various communication styles prevalent in the field; strategies for tailoring reports, technical papers, and presentations for specific audiences; and mechanics of organization and style. Weekly assignments in writing or speaking, with peer and instructor feedback. Limited to 6."
12.446 Teaching Experience in EAPS,12.446,[],[],"Recognizes the educational value derived from satisfactory performance of assigned duties as a Teaching Assistant. Laboratory, field, recitation, or classroom teaching under supervision of a faculty member. Credit for this subject may not be used for any degree granted by Course 12. Total enrollment limited by availability of suitable teaching assignments."
12.THG Graduate Thesis,12.THG,[],[],"Program of research leading to the writing of an SM, PhD, or ScD thesis; to be arranged by the student and an appropriate MIT faculty member. "
12.450 Seminar in Geology and Geochemistry,12.450,[],[],Seminar on topics of current interest in geology and geochemistry. Required background preparation for students taking pre-doctoral general examinations in these subjects. 
12.451 Seminar in Regional Tectonics,12.451,[],[],"Applies techniques of tectonic synthesis to study the roles of particular orogenic belts in global plate tectonics. Treats different applications in different terms, so that the subject may be taken repeatedly to learn the range of orogenic responses to temporal and spatial variations of activity at plate boundaries. "
12.456 Seminar in Rock Mechanics,12.456,[],[],"Discussion of current research or advanced topics in continental tectonics, rock mechanics, or experimental structural geology. "
12.458 Molecular Biogeochemistry,12.458,[],[],"Covers all aspects of molecular biosignatures, such as their pathways of lipid biosynthesis, the distribution patterns of lipid biosynthetic pathways with regard to phylogeny and physiology, isotopic contents, occurrence in modern organisms and environments, diagenetic pathways, analytical techniques and the occurrence of molecular fossils through the geological record. Students analyze in depth the recent literature on chemical fossils. Lectures provide background on the subject matter. Basic knowledge of organic chemistry required. Students taking graduate version complete additional assignments. "
12.463 Geomorphology,12.463,"['18.01|18.01A|18.014', '8.01|8.01L|8.011|8.012', '12.001']",[],"Quantitative examination of processes that shape Earth's surface. Introduction to fluvial, hillslope, and glacial mechanics. Essentials of weathering, soil formation, runoff, erosion, slope stability, sediment transport, and river morphology. Landscape evolution in response to climatic and tectonic forcing. Application of terrestrial theory to planetary surfaces. Additional instruction in geographic information systems (GIS) and remote sensing analysis, field measurement techniques, and numerical modeling of surface processes. Students taking the graduate version complete different assignments. "
12.465A Sedimentary Environments,12.465A,[],[],"Covers the basic concepts of sedimentation from the properties of individual grains to large-scale basin analysis. Lectures cover sediment textures and composition, fluid flow and sediment transport, and formation of sedimentary structures. Depositional models, for both modern and ancient environments are a major component and are studied in detail with an eye toward interpretation of depositional processes and reconstructing paleoenvironments from the rock record. Students taking graduate version complete additional assignments. "
12.465B Sedimentology in the Field,12.465B,['12.456'],[],"Examines the fundamentals of sedimentary deposits and geological reasoning through first hand fieldwork. Students practice methods of modern geological field study off-campus during a required trip over spring break making field observations, measuring stratigraphic sections and making a sedimentological map. Relevant topics introduced are map and figure making in ArcGIS and Adobe Illustrator and sedimentary petrology. Culminates in an oral and written report built around data gathered in the field. Field sites and intervals of geologic time studied rotate annually and include Precambrian, Phanerozoic and Modern depositional environments. May be taken multiple times for credit. Students taking graduate version complete additional assignments. "
12.467 Seminar in Geomorphology,12.467,[],[],"Discussion of current research or advanced topics in landscape evolution, surface hydrology, mechanics of sediment transport, basin analysis, or experimental geomorphology. Advanced instruction in process geomorphology. "
12.470 Essentials of Geology,12.470,"['18.02|18.02A|18.022|18.024', '8.02|8.021|8.022']",[],"Geology of planetary interiors and surfaces, including plate tectonics, as a unifying theory of terrestrial geology, surface processes, and the Earth's interior. Igneous, metamorphic, and sedimentary processes associated with tectonic settings and the typical rock suites created. Mineral and rock identification. Causes of compositional differences on many scales: mineral grains, rocks, regions of the Earth, different planets. Conditions required for melting and melting processes. Rock structure and field techniques. Earth history. Treatment of these topics includes discussions of the geochemical, petrologic, geochronological, experimental, or field techniques used to investigate them; the limitations of current geological techniques and geological controversies; and great geological expeditions, experiments, and studies from the past, their premises, and their results. Students taking graduate version complete additional assignments. "
12.471 Essentials of Geobiology,12.471,[],[],"Introduces basic concepts of microbial structure, growth, energetics, molecular biology, and biochemistry. Presents examples of microbial interactions with environments throughout Earth's history as well as current topics in astrobiology. Includes lectures, discussions of literature, and a field trip. Lab focuses on student-designed projects that involve cultivation, modeling, or sample analyses. Intended for students whose background is not in biology, but who want to learn more about the contribution of microbes to geochemistry and planetary evolution. "
12.473 Paleomagnetism and Planetary Magnetism,12.473,"['12.002', '18.03']",[],"Introduces the study of natural remanent magnetization and the generation of planetary magnetic fields. Topics include paleomagnetism, rock magnetism, geomagnetism, magnetostratigraphy, paleomagnetic measurement techniques, polar wander and continental drift, biomagnetism, dynamo theory, and the history and evolution of magnetic fields on the Earth and planets. "
12.474 Origin and Evolution of the Earth's Crust,12.474,[],[],"Broad overview of the origin and evolution of Earth's crust and mantle with emphasis on the study of the Precambrian rock record. Topics include: processes of crustal growth, stabilization, and reactivation; evaluation of secular change; and use of radiogenic isotopes in geochronology and as tracers of crust forming processes. "
12.475 Plate Tectonics and Continental Deformation,12.475,[],[],"First half covers basic elements of plate tectonics, including sea floor spreading, magnetic anomalies, and subduction zone. Second half covers implications of plate tectonics for continental processes, including continental rifting, continental collision, and mountain building. Emphasis will be on correlating plate tectonic and continental processes using specific examples from around the world. "
12.476 Radiogenic Isotope Geology,12.476,[],[],"Applications of the variations in the relative abundance of radiogenic isotopes to problems of petrology, geochemistry, and tectonics. Topics: geochronology; isotopic evolution of Earth's crust and mantle; petrogenesis; and analytical techniques. "
"12.477 Astrobiology, Origins and Early Evolution of Life",12.477,[],[],"Provides an understanding of major areas of research into the problem of the origin of life on the early Earth from an astrobiological perspective. Topics include the timing, setting and conditions for the origin of life on the Hadean Earth; roles of planetary and extra-planetary processes; defining life; prebiotic chemistry; origins of nucleic acids and peptides; evolution of cellularity, replication, metabolism, and translation; establishment of the genetic code; biogenesis vs. ecogenesis; the nature of the last common ancestor of life; conceptualizing the ""tree of life;"" and the early evolution of the ancestors of bacteria, archaeal, and eukaryal lineages. Students taking graduate version complete an extra project. "
12.478 The Phylogenomic Planetary Record,12.478,[],[],"Introduces the tools of sequence-based phylogenetic analysis and molecular evolution in the context of studying events in Earth's deep past that have been preserved by genomes. Topics include basic concepts of cladistics, phylogeny and sequence evolution, construction of phylogenetic trees of genes and microbial lineages, molecular clocks, dating, and ancestral sequence reconstruction. Special attention to the evolutionary history of microbial metabolisms and their relationship to global biogeochemical cycles across Earth's history. Students taking graduate version complete additional assignments. "
12.480 Thermodynamics for Geoscientists,12.480,"['3.046', '5.60']",[],Principles of thermodynamics are used to infer the physical conditions of formation and modification of igneous and metamorphic rocks. Includes phase equilibria of homogeneous and heterogeneous systems and thermodynamic modelling of non-ideal crystalline solutions. Surveys the processes that lead to the formation of metamorphic and igneous rocks in the major tectonic environments in the Earth's crust and mantle. 
12.481 Advanced Field Geology I,12.481,['12.113'],[],"Introduction to the problems to be investigated in 12.482, as well as the regional setting and local geology of the field area. Various special techniques may be introduced and preparatory investigations may be conducted that are specific to the area to be studied in 12.482. "
12.482 Advanced Field Geology II,12.482,['12.481'],[],"In January, a geological and geomorphological study of a selected field area is conducted during a two-week excursion. Exercises include geological and geomorphological mapping on topographic and photographic base maps of a wide variety of bedrock and surficial rocks. Where feasible, geochemical and geophysical field measurements are correlated with geology. Meets with 12.115 when offered concurrently. "
12.486 Advanced Igneous Petrology,12.486,[],[],"Comprehensive overview of igneous rocks from the Earth, Moon, and meteorite parent bodies. Discusses the compositional diversity of igneous rocks and how it can be used to elucidate rock forming processes in the major tectonic provinces on modern Earth, including mid-ocean ridges, subduction zones, ocean islands, and inter-continental rifting environments. Also covers magma generation processes in the terrestrial planets prior to 2.6 billion years ago. Laboratory exercises on selected suites of igneous rocks reinforce readings and classroom discussions. Uses evidence from related geo-science disciplines to develop an integrative approach to understanding processes that lead to the chemical differentiation of planetary bodies through time. Subject matter may be modified to reflect the interests of the group. "
12.487A Field Geobiology I,12.487A,[],[],"Examines basic biological processes that operate in sediments. Lectures cover biological, physical and chemical processes that influence the formation and stabilization of sediments, including biomineralization, weathering, erosion, the formation of sedimentary structures and interactions with sediments, flow, and the cycles of nutrients. Lab covers analytical methods used to examine microbial processes, bioinformatic methods used to analyze microbial communities, and techniques used to analyze sediment grain sizes and chemistry. Readings and discussions provide preparation for the 12.487B field trip to a modern sedimentary environment. Enables students to interpret processes in modern sedimentary environments, reconstruct similar processes in the rock record, collect appropriate samples in the field, and analyze microbiological data. Students taking graduate version complete additional assignments. "
12.487B Field Geobiology II,12.487B,[],[],"Teaches fundamentals of field observations and reasoning in geobiology/sedimentology during a required trip to a modern sedimentary environment over spring break, followed by laboratory analyses of collected samples. Students make observations, develop hypotheses, collect samples required to test their hypotheses and interact with lecturers and students investigating the sedimentology of the site. Upon return to MIT, students work on field samples to characterize the sediments, use the preliminary data to develop an understanding of the field site, and write research reports. Students taking graduate version write proposals that present a research question based on the field observations and subsequent analyses. Meets with 12.110B and 12.465B when those subjects examine modern sedimentary environments. "
12.493[J] Microbial Genetics and Evolution,12.493[J],"['7.03', '7.05']","['1.87[J]', '7.493[J]', '20.446[J]']",See description under subject 7.493[J]. 
12.494 Geochemistry of Natural Waters,12.494,['18.02|18.02A|18.022|18.024'],[],"Equips students with the fundamental skills to identify major controls on the chemistry of waters on the Earth.  Students examine key concepts, theories and practical tools (e.g., pH, Eh, alkalinity, surface charge, speciation, and carbonate equilibrium) and apply them as tools to understand and make predictions for the biogeochemical cycles of the Earth systems.  Graduate students complete additional assignments. "
12.501 Essentials of Global Geophysics,12.501,"['8.02|8.021|8.022', '18.03']",[],"Overview of basic topics in solid-earth geophysics, such as the Earth's rotation, gravity and magnetic field, seismology, and thermal structure. Formulation of physical principles presented in three one-hour lectures per week. Current applications discussed in an additional one-hour tutorial each week. Students taking graduate version complete different assignments. "
"12.502 Flow, Deformation, and Fracture in Earth and Other Terrestrial Bodies",12.502,"['18.02|18.02A|18.022|18.024', '8.01|8.01L|8.011|8.012']",[],"Covers fundamentals of deformation and fracture of solids and the flow of viscous fluids. Explores spatial scales from molecular to planetary, and time scales from fractions of a second to millions of years, to understand how and why natural materials on Earth and other terrestrial bodies respond to applied forces. Fundamental concepts include the principles of continuum mechanics, tensor representation of physical properties, forces, tractions, stresses, strain theory, elasticity, contact problems, fracture and friction, and viscous flow and rheological models (plasticity, viscosity, viscoelasticity, elasto-plasticity). Students gather, analyze and interpret data using existing theoretical models. Includes a significant laboratory component that provides practical experience with experimental measurements and tests students' acquired theoretical knowledge. Students taking graduate version complete different assignments. "
12.503 Mechanics of Earth,12.503,"['18.02|18.02A|18.022|18.024', '8.01|8.01L|8.011|8.012']",[],"Covers topics in the deformation and fracture of solids and the flow of viscous fluids. Explores spatial scales from molecular to planetary, and time scales from fractions of a second to millions of years, to understand how and why natural materials on Earth and other terrestrial bodies respond to applied forces. Introduces anelasticity, granular mechanics, poroelasticity, rate-and-state friction, transport properties of Earth materials (Darcy's law, Fick's law), brittle-ductile transitions, creep of polycrystalline materials, stored energy and dissipation, and convection. Prepares students to gather, analyze and interpret data using existing theoretical models. Through a significant laboratory component, students obtain practical experience with experimental measurements and test their acquired theoretical knowledge. Students taking graduate version complete different assignments. "
12.507 Essentials of Applied Geophysics,12.507,['18.03'],[],"Introduces the application of geophysical methods to all aspects of near-surface environmental and engineering geophysics, including the exploration for petroleum, water, and minerals. Topics include seismic, electrical, electromagnetic, ground penetrating radar, magnetics, gravity, rock physics and chemistry, borehole geophysics and the global positioning system (GPS). Uses a quantitative approach to emphasize basic principles and a physical /chemical understanding of each method. Discusses specific illustrative field examples. Lab work is mainly devoted to local field work and equipment preparation for the IAP Field Geophysics class. Students taking graduate version complete additional assignments. "
12.510 Introduction to Seismology,12.510,"['18.075', '18.085']",[],"A basic study in seismology and the utilization of seismic waves for the study of Earth's interior. Introduces techniques necessary for understanding of elastic wave propagation in stratified media and for calculation of synthetic seismograms (WKBJ and mode summation). Ray theory; interpretation of travel times. (e.g., tomography); surface wave dispersion in layered media; Earth's free oscillations; and seismicity, (earthquake locations, magnitude, moment, and source properties). "
12.511 Field Geophysics,12.511,[],[],"Covers practical methods of modern geophysics, including the global positioning system (GPS), gravity, and magnetics. Field work is conducted in western US and includes intensive 10-day field exercise. Focuses on measurement techniques and their interpretation. Introduces the science of gravity, magnetics, and the GPS. Measures crustal structure, fault motions, tectonic deformations, and the local gravity and magnetic fields. Students perform high-precision measurements and participate in data analysis. Emphasizes principles of geophysical data collection and the relevance of these data for tectonic faulting, crustal structure, and the dynamics of the earthquake cycle. Students taking graduate version complete additional assignments. "
12.512 Field Geophysics Analysis,12.512,['12.511'],[],"Focuses on in-depth data analysis and development of skills needed to report results both in writing and orally. Students use data collected in 12.511 to develop written and oral reports of the results, with each student focusing on a different area. For example, students can develop the geophysical modeling or synthesis of the results into other studies in the area. The final written and oral reports are combined into a comprehensive report and presentation of the field camp and its results. Students taking graduate version complete additional assignments. "
12.515 Data and Models,12.515,"['18.075', '18.085']",[],"Surveys a number of methods of inverting data to obtain model parameter estimates. Topics include review of matrix theory and statistics, random and grid-search methods, linear and non-linear least squares, maximum-likelihood estimation, ridge regression, stochastic inversion, sequential estimation, singular value decomposition, solution of large systems, genetic and simulated annealing inversion, regularization, parameter error estimates, and solution uniqueness and resolution. Computer laboratory and algorithm development. "
12.521 Computational Geophysical Modeling,12.521,[],[],"Introduces theory, design, and practical methods of computational modeling in geodynamics and geophysical fluid dynamics. Covers the most effective and widely used numerical modeling approaches (e.g., boundary element, finite difference, finite element) and emphasizes problem-solving skills through illustrative examples of heat and mass transfer in the mantle and the ocean. Students acquire experience with various numerical methods through regularly assigned computational exercises and a term-long modeling project of each student's choice. "
12.522 Geological Fluid Mechanics,12.522,"['8.03', '18.075', '18.085']",[],"Treats heat transfer and fluid mechanics in the Earth, low Reynolds number flows, convection instability, double diffusion, Non-Newtonian flows, flow in porous media, and the interaction of flows with accreting and deforming boundaries. Applications include: the flow under plates, postglacial rebound, diapirism, magma dynamics, and the mantle convection problem. "
12.525 Mechanisms of Faulting and Earthquakes,12.525,[],[],"Explores the fundamental mechanics of faulting and earthquakes from four related perspectives: seismology, geodesy, geodynamics, and rheology. Topics to be covered include (1) the physical processes that control the rheology of faults, including friction and fracture, (2) how these rheological processes are manifest in faulting and earthquakes in the earth from a geodynamics perspective, and (3) how the mechanics of faulting and earthquakes are constrained by seismological and geodetic observations. Both continental and oceanic examples of faulting and earthquakes will be featured. "
12.533 Rock Physics,12.533,[],[],"Fundamentals of experimental and theoretical rock physics taught at an advanced level. Rocks viewed as complex composite media with behavior dependent both on the physical and chemical properties of the constituent phases, and on their geometries. Electrical, fluid transport, and seismic properties covered in detail. Other topics such as magnetic, mechanical, and thermal responses briefly discussed. Weekly laboratory. "
12.540 Principles of Global Positioning System,12.540,"['18.02|18.02A|18.022|18.024', '8.01|8.01L|8.011|8.012', '18.06']",[],"The principles and applications of the Global Positioning System (US), GLONASS (Russia), Galileo (EU) and Beidou (China), known as Global Navigation Satellite Systems  (GNSS), along with other space geodetic systems, including very-long-baseline interferometry (VLBI), satellite laser ranging (SLR), and Interferometric Synthetics Aperture Radar (InSAR). Topics covered include CDMA and FDMA encoding used by these systems to allow measurements of pseudo-range and carrier phase which allow millimeter accuracy positioning, models and analysis methods required for millimeter accuracy positioning. Other topics include: satellite orbit modeling, atmospheric refraction modeling, estimation techniques (including Kalman filtering), statistical and spectral analysis of data.  Application areas include tectonic studies of Earth deformation, meteorology, space weather, and millimeter accuracy tracking of moving objects. "
12.552 Advanced Seismology: Theory and Applications of Seismic Imaging,12.552,['12.510'],[],"Introduces fundamental principles of seismic imaging used in both exploration and solid earth applications. Topics include ray theoretical approaches, scattering theory, and seismic waveform modeling. Through lectures, projects and student-led discussions of journal articles, the class covers the whole process of seismic imaging, from data preprocessing to model generation and geological interpretation of the results. "
12.560-12.561 Advanced Seminar in Exploration Geophysics,12.560-12.561,[],[],Advanced seminar focusing on areas of current interest in exploration geophysics and seismology. 12.560 is letter-graded. 
12.570 Topical Issues in Global Geophysics,12.570,[],[],Series of formal lectures and seminars with the specific content varying by term to reflect current issues in research. Meets jointly with relevant Harvard course. 
12.571 Seminar in Geophysics,12.571,[],[],Problems of current interest in geophysics; subject matter varying from term to term. 
12.586 Modeling Environmental Complexity,12.586,['18.03'],[],"Introduction to mathematical and physical models of environmental processes. Emphasis on the development of macroscopic continuum or statistical descriptions of complex microscopic dynamics. Problems of interest include: random walks and statistical geometry of landscapes; percolation theory and transport in disordered media; fractals, scaling, and universality; ecological dynamics and the structure of ecosystems, food webs, and other natural networks; kinetics of biogeochemical cycles. Appropriate for advanced undergraduates. Beginning graduate students are encouraged to register for 12.586. Students taking the graduate version complete different assignments. "
12.601 Essentials of Planetary Science,12.601,"['8.03', '18.03']",[],"Reviews fundamental physical concepts pertaining to the study of the solar system, and highlights recent spacecraft results. Topics include: meteorites, orbital dynamics, asteroids, impact craters, surfaces, atmospheres, atmospheric dynamics, interiors, magnetospheres, rings, comets, formation of the solar system. "
12.603 Solar System Dynamics,12.603,[],[],"Studies the dynamics of the solar system and its major subsystems, and the dynamics of exoplanets, with a modern emphasis on the qualitative structure of phase space. Topics may include rotational dynamics, spin-orbit coupling, Cassini states, and orbital dynamics, resonances, and Kozai oscillations, tidal evolution and tidal heating. "
12.611 Advanced Planetary Observations,12.611,[],[],"Individual research projects in planetary science and astrophysics involving supervised work at Lowell Observatory in Flagstaff, AZ. Projects may include observations made using Lowell's telescope facilities. Project topics and objectives vary from year to year. Written and oral reports required. Enrollment limited."
12.620[J] Classical Mechanics: A Computational Approach,12.620[J],"['8.01|8.01L|8.011|8.012', '18.03']","['6.946[J]', '8.351[J]']","Classical mechanics in a computational framework, Lagrangian formulation, action, variational principles, and Hamilton's principle. Conserved quantities, Hamiltonian formulation, surfaces of section, chaos, and Liouville's theorem. Poincaré integral invariants, Poincaré-Birkhoff and KAM theorems. Invariant curves and cantori. Nonlinear resonances, resonance overlap and transition to chaos. Symplectic integration. Adiabatic invariants. Applications to simple physical systems and solar system dynamics. Extensive use of computation to capture methods, for simulation, and for symbolic analysis. Programming experience required. "
12.621 Physical Principles of Remote Sensing,12.621,"['8.02|8.021|8.022', '6.0001']",[],"Introduction to the physics of remote sensing with applications to the study of the Earth, Moon, planets and other solar system bodies, as well as to emerging fields, such as autonomous navigation. Includes the principles of optical, thermal, radar and lidar remote sensing. Covers fundamental properties of electromagnetic waves; principles of electromagnetic scattering from real and idealized materials, including various types of surfaces and vegetation; interaction of electromagnetic radiation with the atmosphere; and thermal and microwave emission from various media. Discusses past, present, and future remote sensing platforms along with the fundamentals of orbital mechanics and data processing tools and methods. Assignments require students to write simple computer programs and plot mathematical functions. Students taking graduate version complete different assignments. "
12.622 Planetary Atmospheres,12.622,[],[],"Provides a basic understanding of the physics and chemistry of planetary atmospheres. Explores the formation and evolution of atmospheres, their structure and dynamics, and what is known about their chemical composition. Pays particular attention to their energy balance. Also presents the current state of understanding of exoplanet atmospheres. Students taking graduate version complete an additional research project. "
12.625 Extrasolar Planets: Physics and Detection Techniques,12.625,"['8.03', '18.03']",[],"In-depth study of current topics in exoplanets, such as exoplanet transits, radial velocity curves, current survey missions, the mass-radius relation, and super Earths. Class activities consist of reading the current literature, problem sets, and a term project. Students taking graduate version complete additional assignments. "
12.650 Current Topics in Planetary Science,12.650,[],[],In-depth discussion of current and classic literature on selected topics in planetary science. Topics vary from year to year. 
12.652 Current Topics in Planetary Science,12.652,[],[],In-depth discussion of current and classic literature on selected topics in the specialty areas of asteroids and the Pluto-Charon system. Topics vary from year to year. 
12.701 Classic Papers in Physical Oceanography,12.701,[],[],"Provides a historical perspective on fundamental topics in oceanography by considering individual works which, when pieced together, contribute to the more cohesive description of how the ocean works. In class discussions, students consider various aspects of the work in question, including motivation, approach, and implications for the broader context. They also synthesize information and make oral presentations. Develops basic analytical and critical skills in paper reading and writing. "
12.702 Elements of Modern Oceanography,12.702,[],[],"Examines a series of crosscutting topics that exemplify current directions in interdisciplinary oceanography. Focuses on current themes in oceanography, their interdisciplinary nature, and the role of ocean sciences in society. Introduces core concepts across the disciplines of biological, physical, and chemical oceanography as well as marine geology. Emphasizes the interdisciplinary aspects of these core concepts, the kinds of approaches and modes of thinking common to all of the disciplines, and the technological developments underpinning current advances. Students taking graduate version complete different assignments. "
12.703 Presenting Scientific Research,12.703,[],[],"Presenting scientific research geared toward a scientific audience. Each student gives one 30-minute talk, one AGU-style 15-minute talk, and one poster presentation. Students present their ongoing research and use the class as a forum to practice for upcoming talks in more formal settings. Abstracts are prepared for each presentation and discussed in class. Students provide comments, questions, encouragement, critiques, etc. on their peers' presentations. "
12.707 The History of Earth's Climate,12.707,[],[],"Studies the climate history of the Earth, from the formation of the early atmosphere and ocean to the present. Evaluates geochemical, sedimentological, and paleontological evidence for changes in ocean circulation, global temperatures, and atmospheric carbon dioxide levels. Covers theories and models of Phanerozoic climate change. Provides a long-term history of the global carbon cycle. Students taking graduate version complete different assignments. "
12.708 Topics in Paleoceanography,12.708,[],[],Seminar focusing on areas of current interest in paleoceanography and paleoclimatology. Includes discussion of current and classic literature. Topics vary from year to year. 
12.710 Geological Oceanography,12.710,[],[],"Provides a high level survey of a broad range of active science topics in Geological Oceanography. Presents background material that graduate students are expected to know in the disciplines of solid-earth geophysics, geochemistry, sedimentology and stratigraphy, coastal processes, and climate, including a representative set of canonical science papers, and builds on this material to give a sense of the current state of the science in these fields. Broad topics include the formation of the earth, petrogenesis, volcanism, plate tectonics, geodynamics, sedimentation in the oceans, coastal morphodynamics, paleo-oceanography, and climate. The interconnectedness of and feedbacks between processes discussed under these various topics is emphasized. "
